,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Month,Year,Total.People
78151,20160112X91508,Incident,DCA16WA048,2015-12-23,"Gwangju-Si, South Korea",South Korea,,,,,Non-Fatal,,Airplane,HL8049,BOEING,737,No,,,,,Commercial,Jeju air,0.0,0.0,0.0,158.0,,,,25-09-2020,12.0,2015.0,158.0
78152,20160119X20258,Accident,DCA16CA053,2015-12-23,"Charlotte, NC",United States,035179N,0804917W,,,Non-Fatal,,Airplane,N475WN,BOEING,737 7H4,No,2.0,Turbo Fan,121,SCHD,Commercial,SOUTHWEST AIRLINES CO,0.0,0.0,1.0,141.0,IMC,,An inadvertent encounter with clear air turbulence.,25-09-2020,12.0,2015.0,142.0
78158,20160105X44228,Accident,GAA16CA096,2015-12-26,"Punta Gorda, FL",United States,265453N,0815947W,PGD,PUNTA GORDA,Non-Fatal,Substantial,Airplane,N4776E,CESSNA,172,No,1.0,Reciprocating,091,,Commercial,"JACOBS FLIGHT SERVICES, LLC",0.0,0.0,0.0,1.0,VMC,,"The student pilot's failure to maintain obstacle clearance while taxiing on the ramp, resulting in a collision with an object.",25-09-2020,12.0,2015.0,1.0
78159,20160119X15230,Accident,DCA16CA052,2015-12-26,"San Diego, CA",United States,032526N,0116330W,,,Non-Fatal,,Airplane,N7733B,BOEING,737 76N,No,2.0,Turbo Fan,121,SCHD,Commercial,SOUTHWEST AIRLINES CO,0.0,0.0,1.0,147.0,VMC,,An inadvertent encounter with clear air turbulence.,25-09-2020,12.0,2015.0,148.0
78162,20151229X61543,Accident,GAA16CA092,2015-12-28,"Stevensville, MD",United States,385835N,0761948W,W29,BAY BRIDGE,Non-Fatal,Substantial,Airplane,N9083U,PIPER,PA 46,No,1.0,Reciprocating,091,,Commercial,FLY SAFELY LLC,0.0,0.0,0.0,2.0,VMC,,"The pilots failure to maintain glide path, descent rate and landing flare, in off shore wind conditions, resulting in a hard landing short of the runway.",25-09-2020,12.0,2015.0,2.0
78163,20151230X04157,Accident,CEN16WA072,2015-12-28,"Mascouche, Canada",Canada,,,,,Fatal,Substantial,Airplane,C-GUXC,MOONEY,M20K,No,,,,,Commercial,,1.0,0.0,1.0,0.0,,,,25-09-2020,12.0,2015.0,2.0
78165,20160112X41357,Incident,CEN16WA081,2015-12-29,"Cascais, Portugal",Portugal,092118N,0384330E,LPCS,Cascais Aerodrome,Non-Fatal,Minor,Airplane,G-CHZI,CESSNA,172RG,No,,,NUSN,,Commercial,Omni Aviation Training Center,0.0,0.0,0.0,2.0,,,,25-09-2020,12.0,2015.0,2.0
78166,20160104X82221,Accident,CEN16LA076,2015-12-30,"Gary, IN",United States,041372N,0872452W,GYY,GARY/CHICAGO INTL,Non-Fatal,Substantial,Airplane,N999VB,BEECH,200,No,2.0,Turbo Prop,135,NSCH,Commercial,COBB AVIATION SERVICES INCORPORATED,0.0,0.0,0.0,9.0,VMC,,"The pilot's failure to maintain the glidepath and appropriate airspeed during landing in icing conditions, which resulted in an aerodynamic stall and a hard landing.",25-09-2020,12.0,2015.0,9.0
78167,20160105X24817,Accident,GAA16CA095,2015-12-30,"Fort Worth, TX",United States,324852N,0972153W,FTW,FORT WORTH MEACHAM INTL,Non-Fatal,Substantial,Airplane,N2135B,PIPER,PA 28-161,No,1.0,Reciprocating,091,,Commercial,,0.0,0.0,0.0,2.0,VMC,,An inadvertent collision with a bird while on downwind in the airport pattern.,25-09-2020,12.0,2015.0,2.0
78169,20160105X81755,Incident,DCA16WA040,2015-12-31,"Calgary, Canada",Canada,,,,,,,Airplane,C-FRAM,BOEING,777-333ER,No,2.0,,,,Commercial,Air Canada,0.0,0.0,0.0,0.0,,,,25-09-2020,12.0,2015.0,0.0
78170,20160113X10829,Accident,WPR16WA052,2016-01-01,"Seletar Airport, Singapore, Senegal",Senegal,,,,,Non-Fatal,Substantial,Airplane,9M-RBI,PIPER,PA34,No,,,,,Commercial,,0.0,0.0,0.0,1.0,,,,25-09-2020,1.0,2016.0,1.0
78175,20160104X11840,Accident,ANC16LA012,2016-01-02,"Anaktuvuk Pass, AK",United States,068442N,1515347W,AKP,ANAKTUVUK PASS,Non-Fatal,Substantial,Airplane,N540ME,CESSNA,208B,No,1.0,Turbo Prop,135,SCHD,Commercial,WRIGHT AIR SERVICE INC,0.0,3.0,5.0,0.0,VMC,,"The pilots continued flight into deteriorating, flat light weather conditions, which resulted in impact with mountainous, snow-covered terrain. ",25-09-2020,1.0,2016.0,8.0
78181,20160106X80332,Accident,DCA16CA041,2016-01-03,"Raleigh, NC",United States,355239N,0784715W,,,Non-Fatal,,Airplane,N643RW,EMBRAER,ERJ 170 100 SE,No,2.0,Turbo Fan,121,SCHD,Commercial,SHUTTLE AMERICA CORP,0.0,0.0,1.0,71.0,VMC,,an encounter with turbulence resulting in a serious injury to a flight attendant.,25-09-2020,1.0,2016.0,72.0
78183,20160104X25705,Accident,CEN16WA074,2016-01-04,"Egmond, Netherlands (the)",Netherlands,052372N,0043133E,,,Fatal,Destroyed,Airplane,G-ZOGT,CIRRUS,SR20,No,1.0,Reciprocating,,,Commercial,,1.0,0.0,0.0,0.0,,,,25-09-2020,1.0,2016.0,1.0
78189,20160122X35617,Accident,CEN16LA092,2016-01-05,"Sulfur Springs, TX",United States,033930N,0953716W,SLR,Sulphur Springs,Non-Fatal,Substantial,Airplane,N72AF,CESSNA,172R,No,1.0,Reciprocating,091,,Commercial,AMERIFLYERS OF CALIFORNIA INC,0.0,0.0,0.0,1.0,VMC,,The student pilots failure to maintain directional control during landing.,25-09-2020,1.0,2016.0,1.0
78190,20160106X32926,Accident,ERA16LA082,2016-01-06,"SAVANNAH, GA",United States,032739N,0081128W,SAV,Savaanh/Hilton Head Intl,Non-Fatal,Substantial,Airplane,N978AF,PILATUS AIRCRAFT LTD,PC-12,No,1.0,Turbo Prop,091,,Commercial,"PlaneSense, Inc.",0.0,2.0,0.0,0.0,VMC,,"The pilots failure to follow proper procedures in response to a crew alerting system warning for high engine torque values, which necessitated an off-runway emergency landing during which the airplane sustained substantial damage due to postimpact fire. Contributing to the accident was the erroneous engine torque indication for reasons that could not be determined.",25-09-2020,1.0,2016.0,2.0
78191,20160111X95013,Incident,DCA16WA047,2016-01-06,"Saarbrucken, Germany",Germany,,,EDDR,Saarbrucken,Non-Fatal,Minor,Airplane,EC-HJC,SWEARINGEN,SA226,No,,,,,Commercial,Zorex Air Transport,0.0,0.0,0.0,2.0,,,,25-09-2020,1.0,2016.0,2.0
78192,20160107X03150,Incident,DCA16WA042,2016-01-07,"Cluj-Napoca, Romania",Romania,,,LRCL,Cluj-Napoca International,Non-Fatal,,Airplane,YR-BAS,BOEING,737,No,,,,,Commercial,Blue Air-Airline Management Solutions,0.0,0.0,0.0,116.0,,,,25-09-2020,1.0,2016.0,116.0
78195,20160113X35538,Accident,ERA16WA088,2016-01-07,"Bom Jesus de Goias, Brazil",Brazil,181255S,0049482W,,,Fatal,Destroyed,Airplane,PR-INS,CESSNA AIRCRAFT,T188,No,,,NUSN,,Commercial,BLITZ COMERCIO E REPRESENTACOES LTDA,2.0,0.0,0.0,0.0,,,,25-09-2020,1.0,2016.0,2.0
78196,20160130X94052,Incident,DCA16WA079,2016-01-07,"Gran Canaria, Spain",Spain,,,GCLP,Gran Canaria Intl Airport,,,Airplane,D-ABLB,BOEING,737,No,,,,,Commercial,GERMANIA FLUGGESELLSCHAFT MBH,0.0,0.0,0.0,0.0,,,,25-09-2020,1.0,2016.0,0.0
78197,20160108X01550,Accident,DCA16RA045,2016-01-08,"Kiruna, Sweden",Sweden,,,,,Fatal,Destroyed,Airplane,SE-DUX,BOMBARDIER,CL600 2B19,No,,,,,Commercial,West Atlantic Sweden,2.0,0.0,0.0,0.0,,,,26-05-2021,1.0,2016.0,2.0
78199,20160208X93451,Accident,CEN16LA098,2016-01-08,"Fargo, ND",United States,465514N,0964857W,FAR,Hector International Airport,Non-Fatal,Substantial,Airplane,N779CC,CESSNA,441,No,2.0,Turbo Prop,091,,Commercial,,0.0,0.0,0.0,1.0,IMC,,"The pilots failure to cycle the surface deice boots during the instrument approach in icing conditions, which led to ice accumulation on the leading edges of the wings and empennage, and resulted in an aerodynamic stall and subsequent hard landing.",25-09-2020,1.0,2016.0,1.0
78202,20160119X52243,Accident,GAA16CA101,2016-01-11,"Baton Rouge, LA",United States,303721N,0091828W,,,Non-Fatal,Substantial,Airplane,N4423R,CESSNA,182,No,1.0,Reciprocating,091,,Commercial,,0.0,0.0,0.0,2.0,VMC,,An inadvertent collision with a bird while maneuvering during an aerial observation flight.,25-09-2020,1.0,2016.0,2.0
78203,20160211X05621,Incident,ENG16WA008,2016-01-11,"Lima, Peru",Peru,,,,,,,Airplane,CC-CXK,BOEING,767,No,,Turbo Fan,,SCHD,Commercial,LAN Airlines,0.0,0.0,0.0,0.0,,,,25-09-2020,1.0,2016.0,0.0
78204,20160630X55224,Accident,GAA16CA348,2016-01-11,"Carolina, PR",United States,181549N,0006605W,TJSJ,San Juan Luis Munoz Internatio,Non-Fatal,Substantial,Airplane,N87SA,BEECH,B200,No,2.0,Turbo Prop,135,NSCH,Commercial,"Island Airlines, LLC",0.0,0.0,0.0,5.0,VMC,,"The pilot's failure to actuate the parking brake prior to leaving his seat, resulting in substantial damage.",25-09-2020,1.0,2016.0,5.0
78205,20160120X30609,Accident,GAA16CA104,2016-01-12,"Dothan, AL",United States,311918N,0085275W,DHN,DOTHAN RGNL,Non-Fatal,Substantial,Airplane,N417ER,CESSNA,172,No,1.0,Reciprocating,091,,Commercial,EMBRY RIDDLE AERONAUTICAL UNIVERSITY INC,0.0,0.0,0.0,1.0,VMC,,"The pilot-rated student's hard landing, which resulted in fuselage damage.",25-09-2020,1.0,2016.0,1.0
78209,20160120X42724,Accident,GAA16CA105,2016-01-13,"Chappell, NE",United States,041440N,1022753W,CNP,BILLY G RAY FIELD,Non-Fatal,Substantial,Airplane,N87405,ENGINEERING & RESEARCH,ERCOUPE 415,No,1.0,Reciprocating,091,,Commercial,"O'Hanlon, John, M.",0.0,0.0,0.0,1.0,VMC,,"The pilot's inability to correct for a crosswind during the takeoff roll due to the interlinked flight control design, which resulted in a runway excursion, and a collision with terrain.",25-09-2020,1.0,2016.0,1.0
78210,20160201X82558,Incident,DCA16WA083,2016-01-13,"Lisbon, Portugal",Portugal,,,LPPT,Lisbon Airport,Non-Fatal,Minor,Airplane,D2-TEI,BOEING,777,No,,,,,Commercial,TAAG ANGOLA AIRLINES,0.0,0.0,0.0,277.0,,,,25-09-2020,1.0,2016.0,277.0
78214,20160411X35240,Accident,CEN16WA148,2016-01-14,"Leicestershire, United Kingdom",United Kingdom,,,,,Non-Fatal,Minor,Airplane,G-MAPP,CESSNA,402,No,,,,,Commercial,,0.0,0.0,0.0,3.0,,,,25-09-2020,1.0,2016.0,3.0
78215,20160201X65115,Incident,ERA16WA099,2016-01-15,"Istanbul, Turkey",Turkey,405915N,0284830E,LTBA,Istanbul Ataturk,Non-Fatal,Minor,Airplane,TC-AHE,CESSNA,550,No,,,NUSN,,Commercial,Panjet,0.0,0.0,0.0,4.0,,,,25-09-2020,1.0,2016.0,4.0
78217,20160121X00157,Accident,GAA16CA109,2016-01-15,"Hooper Bay, AK",United States,613125N,0166846W,HPB,HOOPER BAY,Non-Fatal,Substantial,Airplane,N104AN,CESSNA,CE-208,No,1.0,Turbo Prop,135,SCHD,Commercial,GRANT AVIATION INC.,0.0,1.0,0.0,8.0,VMC,,"The pilot's failure to identify the runway, resulting in the airplane touching down a few feet to the right of the runway.",25-09-2020,1.0,2016.0,9.0
78218,20160218X53651,Incident,DCA16WA095,2016-01-16,"Kiev, Ukraine",Ukraine,,,,Zhuliany,,Minor,Airplane,UR-GBA,BOEING,737,No,,,NUSC,SCHD,Commercial,Ukraine International Airlines,0.0,0.0,0.0,0.0,IMC,,,25-09-2020,1.0,2016.0,0.0
78220,20160119X32338,Accident,CEN16WA088,2016-01-16,"Cuenca, Spain, Spain",Spain,040416N,0002819W,,,Fatal,Destroyed,Airplane,EC-ESK,SOCATA,TB20,No,1.0,Reciprocating,,,Commercial,,4.0,0.0,0.0,0.0,,,,25-09-2020,1.0,2016.0,4.0
78227,20160120X62950,Accident,ERA16LA092,2016-01-18,"Dublin, GA",United States,323353N,0082596W,DBN,"WH ""Bud"" Barron Airport",Non-Fatal,Substantial,Airplane,N68X,PIPER,PA 30,No,2.0,Reciprocating,091,,Commercial,,0.0,0.0,0.0,2.0,VMC,,The pilots inadvertent retraction of the landing gear during the landing roll following a landing approach in gusting wind conditions.,,1.0,2016.0,2.0
78230,20160120X44826,Accident,GAA16CA106,2016-01-19,"Terrell, TX",United States,324856N,0962118W,1F7,AIRPARK EAST,Non-Fatal,Substantial,Airplane,N2119N,PIPER,PA 28RT-201,No,1.0,Reciprocating,091,,Commercial,J. LINN AVIATION INC,0.0,0.0,0.0,2.0,VMC,,"The private pilot's exceedance of the airplane's critical angle-of-attack during a go-around in gusting crosswind conditions, which resulted in an aerodynamic stall and a collision with terrain short of the runway.",25-09-2020,1.0,2016.0,2.0
78231,20160120X52017,Accident,GAA16CA107,2016-01-19,"Ottawa, KS",United States,038207N,0095654W,,,Non-Fatal,Substantial,Airplane,N113WB,PIPER,PA 46,No,1.0,Reciprocating,091,,Commercial,NO BOUNDARIES AVIATION LLC,0.0,1.0,0.0,1.0,IMC,,"The flight crews encounter with un-forecasted freezing rain resulting in an uncontrolled descent, forced landing, and substantial damage to the airplane's firewall, and forward pressure bulkhead.",25-09-2020,1.0,2016.0,2.0
78233,20160125X83431,Accident,CEN16LA093,2016-01-19,"Wichita, KS",United States,374528N,0971310W,AAO,COLONEL JAMES JABARA,Non-Fatal,Substantial,Airplane,N602MA,SOCATA,TBM700,No,1.0,Turbo Prop,091,,Commercial,Premier Furnace Specialists,0.0,0.0,0.0,2.0,VMC,,"The pilots failure to maintain the minimum-recommended approach airspeed in icing conditions, which resulted in a loss of airplane control. 
",25-09-2020,1.0,2016.0,2.0
78234,20160127X54729,Accident,ERA16WA095,2016-01-20,"Londrina, Brazil",Brazil,231252S,0051119W,SSOK,Londrina,Fatal,Destroyed,Airplane,PT-WFX,AIR TRACTOR,AT401,No,1.0,Reciprocating,NUSN,,Commercial,Viagro Vidotti Agro Aerea Ltda.,0.0,0.0,1.0,0.0,,,,25-09-2020,1.0,2016.0,1.0
78235,20160301X04925,Accident,CEN16WA113,2016-01-20,"Swansea, United Kingdom",United Kingdom,513619N,0000444W,EGFH,Swansea Airport,Non-Fatal,Substantial,Airplane,G-GCDC,CIRRUS DESIGN CORPORATION,CIRRUS SR20,No,1.0,Reciprocating,,,Commercial,,0.0,0.0,0.0,3.0,,,,25-09-2020,1.0,2016.0,3.0
78236,20160425X21406,Accident,CEN16WA165,2016-01-22,"Vasteras, Sweden",Sweden,,,,,Non-Fatal,Substantial,Airplane,SE-LVR,DIAMOND,DA42,No,,,,,Commercial,,0.0,0.0,3.0,0.0,,,,25-09-2020,1.0,2016.0,3.0
78241,20160126X75122,Accident,DCA16CA070,2016-01-24,"Newark, NJ",United States,404114N,0741039W,EWR,Newark Liberty International A,Non-Fatal,Substantial,Airplane,N908DE,MCDONNELL DOUGLAS CORPORATION,MD 88,No,2.0,Turbo Fan,121,SCHD,Commercial,"Delta Air Lines, Inc.",0.0,0.0,0.0,153.0,VMC,,the ground crew's misjudgment of the distance between the B767 wingtip and the MD-88 tail.  Contributing to the accident was the slushy condition of the ramp which limited the maneuvering space available.,25-09-2020,1.0,2016.0,153.0
78242,20160126X94952,Accident,GAA16CA112,2016-01-24,"Auburn, WA",United States,471945N,1221336W,S50,AUBURN MUNI,Non-Fatal,Substantial,Airplane,N9295D,PIPER,PA 18A 150,No,1.0,Reciprocating,091,,Commercial,Daryl Hickman,0.0,0.0,0.0,2.0,VMC,,"The failure of the pilot receiving instruction to maintain directional control during the landing roll, resulting in a ground-loop.",25-09-2020,1.0,2016.0,2.0
78243,20170112X33950,Accident,WPR16WA191,2016-01-24,"Chiang Mai, Thailand",Thailand,,,,,Non-Fatal,Substantial,Airplane,HS-GMC,VANS,RV8,No,,Reciprocating,,,Commercial,,0.0,0.0,0.0,2.0,,,,25-09-2020,1.0,2016.0,2.0
78246,20160615X01520,Incident,ENG16RA024,2016-01-25,"Suvarnabhumi Airport, Thailand",Thailand,,,,,Non-Fatal,,Airplane,HS-TXN,AIRBUS,A320,No,,,,,Commercial,,0.0,0.0,0.0,0.0,,,,25-09-2020,1.0,2016.0,0.0
78247,20160201X51653,Accident,CEN16FA095,2016-01-26,"Xenia, OH",United States,394127N,0835931W,I19,Lewis A Jackson Regional,Fatal,Substantial,Airplane,N1703,CIRRUS DESIGN CORP,SR22T,No,1.0,Reciprocating,091,,Commercial,,1.0,0.0,0.0,0.0,VMC,,"The pilot's failure to maintain adequate airspeed while turning from the base leg to final, which resulted in the wing's critical angle-of-attack being exceeded and a subsequent aerodynamic stall.",25-09-2020,1.0,2016.0,1.0
78250,20160127X52321,Accident,WPR16LA058,2016-01-27,"Bakersfield, CA",United States,035261N,0119316W,BFL,Meadows Field,Non-Fatal,Substantial,Airplane,N346MC,CESSNA,340A,No,2.0,Reciprocating,091,,Commercial,PACIFIC FBO PROPERTIES LLC,0.0,0.0,0.0,1.0,VMC,,"Maintenance personnels repeated failure to re-rig the main landing gear (MLG) in accordance with the airplane manufacturer's service manual requirements, which resulted in the collapse of the right MLG.",25-09-2020,1.0,2016.0,1.0
78251,20160127X70645,Incident,OPS16IA002,2016-01-27,"Detroit, MI",United States,421319N,0832123W,DTW,DETROIT METROPOLITAN WAYNE COU,,,Airplane,N316PQ,BOMBARDIER INC,CL600 2D24,No,,,121,SCHD,Commercial,Endeavor Air,0.0,0.0,0.0,0.0,VMC,,"The local controller's failure to visually scan and ensure that the runway surface was not occupied by a vehicle or other aircraft before issuing a takeoff clearance to the pilot. Contributing to this incident was the relieved controller's failure to monitor and review the position, after completing the relief briefing, to ensure that nothing had been overlooked.",25-09-2020,1.0,2016.0,0.0
78253,20160216X40423,Accident,GAA16CA129,2016-01-27,"Lawrenceville, GA",United States,335842N,0835742W,LZU,GWINNETT COUNTY - BRISCOE FIEL,Non-Fatal,Substantial,Airplane,N338PC,PILATUS,PC12,No,1.0,Turbo Prop,091,,Commercial,"Quest Diagnostics, Inc.",0.0,0.0,0.0,1.0,VMC,,An unintentional collision with a white-tailed deer during the takeoff roll in night visual conditions.,25-09-2020,1.0,2016.0,1.0
78254,20160128X04914,Accident,DCA16WA076,2016-01-28,"Mashad, Iran (Islamic Republic of)",Iran,,,OIMM,Mashad International Airport,Non-Fatal,Substantial,Airplane,EP-ZAB,MCDONNELL DOUGLAS,MD80,No,,,,,Commercial,Zagros Air,0.0,9.0,0.0,142.0,,,,25-09-2020,1.0,2016.0,151.0
78255,20160129X24835,Accident,DCA16CA077,2016-01-28,"Titusville, FL",United States,028300N,0079300W,,,Non-Fatal,,Airplane,N718SW,BOEING,737 7H4,No,2.0,Turbo Fan,121,SCHD,Commercial,SOUTHWEST AIRLINES CO,0.0,0.0,1.0,143.0,VMC,,an inadvertent encounter with clear air turbulence.,,1.0,2016.0,144.0
78258,20160201X52407,Incident,OPS16IA004,2016-01-29,"Fort Lauderdale, FL",United States,026418N,0080859W,FLL,FORT LAUDERDALE/HOLLYWOOD INTL,,,Airplane,N587NK,AIRBUS,A321 231,No,2.0,Turbo Fan,121,SCHD,Commercial,Spirit Airlines,0.0,0.0,0.0,0.0,VMC,,"The air traffic controller's failure to ensure the runway surface area was clear of vehicles before clearing an aircraft for takeoff. Also causal was the flight crew's decision to initiate a takeoff while the Runway Status Lights (RWSL) Takeoff Hold Lights (THLs) were activated. Contributing to the incident was the lack of a standard procedure for vehicle operators to request runway clearances and resultant ""hear back/read back"" error between the vehicle operator and the air traffic controller.",25-09-2020,1.0,2016.0,0.0
78260,20160201X75918,Accident,DCA16WA080,2016-01-29,"Windhoek, Namibia",Namibia,221229S,0172745E,,,Fatal,Destroyed,Airplane,V5-MJW,CESSNA,425,No,,,NUSC,,Commercial,,3.0,0.0,0.0,0.0,,,,25-09-2020,1.0,2016.0,3.0
78262,20160202X22036,Accident,WPR16WA062,2016-01-29,"Barwon Heads, Australia, Australia",Australia,381841S,1443421E,,,Fatal,Destroyed,Airplane,VH-PXD,PIPER,PA28,No,1.0,Reciprocating,,,Commercial,,4.0,0.0,0.0,0.0,,,,25-09-2020,1.0,2016.0,4.0
78267,20160201X84139,Incident,DCA16WA084,2016-01-30,"London, United Kingdom",United Kingdom,,,,,,,Airplane,G-CIVX,BOEING,747,No,,,,,Commercial,BRITISH AIRWAYS,0.0,0.0,0.0,0.0,,,,25-09-2020,1.0,2016.0,0.0
78273,20160201X43119,Accident,CEN16FA094,2016-02-01,"Arcola, TX",United States,293025N,0952839W,KAXH,Houston Southwest,Fatal,Destroyed,Airplane,N323BR,COSTRUZIONI AERONAUTICHE TECNA,P92 ECHO SUPER,No,1.0,Reciprocating,091,,Commercial,"Houston LightSport Aviation, LLC",1.0,0.0,1.0,0.0,VMC,,"The student pilot's loss of control after exceeding the airplane's critical angle-of-attack, which lead to a power-on, aerodynamic departure stall. Contributing to the accident was the flight instructor's inadequate oversight of the student pilot.",25-09-2020,2.0,2016.0,2.0
78277,20160202X33553,Accident,ERA16FA100,2016-02-02,"Mobile, AL",United States,304043N,0881549W,MOB,MOBILE RGNL,Fatal,Destroyed,Airplane,N784CP,CESSNA,182,No,1.0,Reciprocating,091,,Commercial,CIVIL AIR PATROL,2.0,0.0,0.0,0.0,IMC,,"The pilot's loss of airplane control during a missed approach in instrument meteorological conditions due to spatial disorientation. Contributing to the accident was the pilot's inadequate preflight and inflight weather planning which resulted the pilot's selection of an unsuitable alternate airport, and the Civil Air Patrol's inadequate flight release procedures and inadequate oversight of the flight.",25-09-2020,2.0,2016.0,2.0
78282,20160204X80119,Accident,WPR16LA063,2016-02-03,"San Diego, CA",United States,324919N,1165812W,SEE,Gillespie Field Airport,Non-Fatal,Minor,Airplane,N499DR,CESSNA,172S,No,1.0,Reciprocating,091,,Commercial,CALIFORNIA FLIGHT ACADEMY,0.0,0.0,0.0,4.0,VMC,,"The flight instructors failure to maintain awareness while parked on the ramp with the engine operating, which resulted in impact with another parked airplane.",25-09-2020,2.0,2016.0,4.0
78297,20160210X70158,Incident,CEN16IA103,2016-02-09,"Dallas, TX",United States,325050N,0096516W,DAL,DALLAS LOVE FIELD,Non-Fatal,,Airplane,N774SB,CESSNA,560,No,2.0,Turbo Fan,135,NSCH,Commercial,SEVEN BAR FLYING SERVICE INC,0.0,0.0,0.0,5.0,VMC,,The loss of aileron trim due to the lack of separation between the cannon head on the back of autopilot cannon plug and the aileron trim tab control gear. Contributing to the incident was the lack of guidance in the airplane maintenance manual to verify separation of the autopilot control head and aileron trim tab control gear before completing work on the control pedestal.,25-09-2020,2.0,2016.0,5.0
78298,20160224X24110,Incident,DCA16WA099,2016-02-09,"Calgary, Alberta, Canada",Canada,,,,,,Minor,Airplane,C-GWEP,BOMBARDIER,DHC8,No,,,,,Commercial,,0.0,0.0,0.0,0.0,,,,25-09-2020,2.0,2016.0,0.0
78299,20160212X11826,Accident,CEN16WA104,2016-02-10,"Jaen, Spain",Spain,381744N,0002458W,,,Fatal,Destroyed,Airplane,EC-LSY,CESSNA,172,No,,Reciprocating,NUSN,,Commercial,Gesplane,1.0,0.0,0.0,0.0,,,,,2.0,2016.0,1.0
78300,20160216X04857,Incident,DCA16WA087,2016-02-10,"Punta Cana, Las Americas",Dominican Republic,,,,,,Minor,Airplane,VP-BHB,BOEING,777,No,,,,,Commercial,,0.0,0.0,0.0,0.0,,,,25-09-2020,2.0,2016.0,0.0
78301,20160210X12541,Accident,WPR16FA067,2016-02-11,"Springville, CA",United States,036541N,1185224W,KVIS,Visalia,Fatal,Destroyed,Airplane,N911TS,FLIGHT DESIGN GMBH,CTLS,No,1.0,Reciprocating,PUBU,,Commercial,COUNTY OF TULARE SHERIFFS OFFICE,2.0,0.0,0.0,0.0,VMC,,"The pilot's failure to maintain adequate airspeed while maneuvering at low altitude in hilly terrain, which resulted in the airplane's wing exceeding its critical angle-of-attack and a subsequent aerodynamic stall. Contributing to the accident were the pilot's inability to recognize the rising terrain due to the sun glare and the pilot's operation of the airplane in excess of its gross weight.",25-09-2020,2.0,2016.0,2.0
78303,20160224X21522,Incident,DCA16WA098,2016-02-11,"Iquitos, Peru",Peru,,,,,,,Airplane,OB-2037P,BOEING,737,No,,,,,Commercial,,0.0,0.0,0.0,0.0,,,,25-09-2020,2.0,2016.0,0.0
78305,20160216X30546,Accident,GAA16CA127,2016-02-12,"Santa Paula, CA",United States,342051N,0119339W,SZP,SANTA PAULA,Non-Fatal,Substantial,Airplane,N704SL,CESSNA,150,No,1.0,Reciprocating,091,,Commercial,CP Aviation Inc.,0.0,0.0,0.0,2.0,VMC,,"The tailwheel pilot's failure to see and avoid a stationary airplane performing a run-up, which resulted in a ground collision.",25-09-2020,2.0,2016.0,2.0
78308,20160222X93713,Accident,DCA16LA096,2016-02-12,"Iliamna, AK",United States,594511N,1545446W,,,Non-Fatal,Substantial,Airplane,N401LC,LOCKHEED,382G,No,4.0,Turbo Prop,121,NSCH,Commercial,Lynden Air Cargo,0.0,0.0,0.0,5.0,VMC,,The fatigue failure of the forward pressure bulkhead canted web that originated from stress corrosion cracking areas. Contributing to the failure were inspection procedures and intervals inadequate to identify the crack.,25-09-2020,2.0,2016.0,5.0
78316,20160927X02959,Accident,ANC16WA070,2016-02-13,"St Andrews, Canada",Canada,,,,,Non-Fatal,,Airplane,C-GQPN,PIPER,PA-28-140,No,1.0,,,,Commercial,,0.0,0.0,0.0,2.0,,,,25-09-2020,2.0,2016.0,2.0
78318,20160216X30252,Accident,DCA16CA089,2016-02-14,"Minneapolis, MN",United States,445255N,0931318W,,,Non-Fatal,,Airplane,N827AW,AIRBUS INDUSTRIE,A319 132,No,2.0,Turbo Fan,121,SCHD,Commercial,American Airlines,0.0,0.0,1.0,104.0,IMC,,an encounter with turbulence that resulted in a serious injury to a passenger who was standing when the fasten seatbelt sign was illuminated.,25-09-2020,2.0,2016.0,105.0
78323,20160218X62022,Accident,GAA16CA134,2016-02-17,"Newport News, VA",United States,037755N,0762935W,PHF,NEWPORT NEWS/WILLIAMSBURG INTL,Non-Fatal,Substantial,Airplane,N35502,CESSNA,172,No,1.0,Reciprocating,091,,Commercial,LIBERTY UNIVERSITY SCHOOL OF AERONAUTICS,0.0,0.0,0.0,1.0,VMC,,"The student pilot's failure to maintain directional control during the landing roll, resulting in a runway excursion and impact with terrain.",25-09-2020,2.0,2016.0,1.0
78324,20160218X94149,Accident,DCA16CA094,2016-02-17,"Detroit, MI",United States,421227N,0083217W,DTW,DETROIT METROPOLITAN WAYNE COU,Non-Fatal,Minor,Airplane,N925NN,BOEING,737,No,2.0,Turbo Fan,121,SCHD,Commercial,American Airlines,0.0,0.0,0.0,155.0,VMC,,"N925NN flight crew's incorrect evaluation of the clearance between the two aircraft, leading to the inadvertent collision of the winglet with the horizontal stabilizer and elevator of N784SW.",25-09-2020,2.0,2016.0,155.0
